from_table,sr_alternate,sr_asciiname,sr_names,sr_scores
Sulawesi Utara,"Amihanan nga Sulawesi,Bac Sulawesi,Bắc Sulawesi,Celebes Polnocny,Celebes Północny,Celebes Septentrional,Celebes do Norte,Célebes Septentrional,Daerah Tingkat I Sulawesi Utara,Kuzey Sulawesi,Noord-Celebes,Nord-Sulawesi,Norda Sulaveso,North Sulawesi,Pak Sulawesi,Pet Su-la-vi-si-sen,Pet Sû-lâ-vî-sî-sén,Pivnichne Sulavesi,Pohjois-Sulawesi,Propinsi Sulawesi Utara,Provinsi Sulawesi Utara,Severni Sulavesi,Severni Sulawesi,Severno Sulavesi,Severnyj Sulavesi,Severní Sulawesi,Siaures Sulavesis,Sulawesi Baroh,Sulawesi Kaler,Sulawesi Kalér,Sulawesi Lor,Sulawesi Settentrionale,Sulawesi Utara,Sulawesi du Nord,Sulawèsi Barôh,Umar Sulavesi,bei su la wei xi sheng,beisurau~eshi zhou,chrdiloeti sulavesi,shmaly slawysy,sullawesiutala ju,swlawsy alshmalyt,swlawsy shmaly,uttara sulavesi,Šiaurės Sulavesis,Північне Сулавесі,Северни Сулавеси,Северно Сулавеси,Северный Сулавеси,Умар Сулавеси,سولاوسي الشمالية,سولاوسی شمالی,شمالی سلاویسی,صوبہ اتلا سولاویسی,उत्तर सुलावेसी,ჩრდილოეთი სულავესი,北スラウェシ州,北苏拉威西省,술라웨시우타라 주",Sulawesi Utara,Sulawesi Utara,11.713343
Sulawesi Tengah,"Butnga nga Sulawesi,Celebas del Centre,Celebes Central,Celebes Srodkowy,Celebes Środkowy,Centra Sulaveso,Central Sulawesi,Central'nyj Sulavesi,Centralni Sulavesi,Centralno Sulavesi,Centrinis Sulavesis,Chung Su-la-vi-si-sen,Chûng Sû-lâ-vî-sî-sén,Célebes Central,Daerah Tingkat I Sulawesi Tengah,Keski-Sulawesi,Midden-Celebes,Orta Sulawesi,Propinsi Sulawesi Tengah,Provinsi Sulawesi Tengah,Stredni Sulawesi,Střední Sulawesi,Sulawesi Centrale,Sulawesi Tengah,Sulawesi central,Trung Sulawesi,madhya sulavesi,sullawesiteung-a ju,swlawsy alwsty,swlawsy mrkzy,wsty slawysy,zhong busurau~eshi zhou,zhong su la wei xi sheng,Төв Сулавеси,Централни Сулавеси,Централно Сулавеси,Центральный Сулавеси,سولاوسي الوسطى,سولاوسی مرکزی,صوبہ گھبلا سولاویسی,وسطی سلاویسی,मध्य सुलावेसी,ცენტრალური სულავესი,中苏拉威西省,中部スラウェシ州,술라웨시틍아 주",Sulawesi Tengah,Sulawesi Tengah,10.591202
Sulawesi Selatan,"Celebes Poludniowy,Celebes Południowy,Daerah Tingkat I Sulawesi Selatan,Etelae-Sulawesi,Etelä-Sulawesi,Propinsi Sulawesi Selatan,Provinsi Sulawesi Selatan,South Sulawesi,Sulawesi Meridionale,Sulawesi Selatan,Sulawesi du Sud,Zuid-Celebes,nansurau~eshi,nansurau~eshi zhou,swlawsy aljnwbyt,سولاوسي الجنوبية,南スラウェシ,南スラウェシ州",Provinsi Sulawesi Selatan,Provinsi Sulawesi Selatan,8.875942
Sulawesi Tenggara,"Daerah Tingkat I Sulawesi Tenggara,Propinsi Sulawesi Tenggara,Provinsi Sulawesi Tenggara,Southeast Sulawesi,Sulawesi Tenggara",Sulawesi Tenggara,Sulawesi Tenggara,13.579021
Gorontalo,"Gorontalo,Горонтало",Gorontalo,Gorontalo,11.147505
Sulawesi Barat,"Provinsi Sulawesi Barat,Sulawesi Barat,West Sulawesi",Provinsi Sulawesi Barat,Provinsi Sulawesi Barat,9.47136
Maluku,Maluku,Maluku,Maluku,2.0035572
Maluku Utara,"Maluku Utara,North Maluku,Propinsi Maluku Utara,Provinsi Maluku Utara",Provinsi Maluku Utara,Provinsi Maluku Utara,9.777752
Papua Barat,"Irian Jaya Barat,Papouasie occidentale,Provinsi Irian Jaya Barat,Provinsi Papua Barat,West Papua",Provinsi Papua Barat,Provinsi Papua Barat,9.035113
Papua,Pappa,Pappa,Pappa,5.009369
